                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.75377,                0.47366,                 1.0482,                0.94877,                0.92162,                0.95658,                0.77135,                0.78883,                0.41692,                 1.1312,             0.00068075,             0.00068075,             0.00068075
                     48,                0.75346,                0.47059,                 1.0403,                0.92648,                0.94857,                0.95661,                 0.7728,                0.77107,                0.41728,                  1.132,             0.00066838,             0.00066838,             0.00066838
                     49,                0.73315,                0.45485,                 1.0357,                0.94417,                 0.9423,                0.96173,                0.78887,                   0.77,                0.40907,                 1.1157,               0.000656,               0.000656,               0.000656
                     50,                0.74872,                0.45953,                 1.0397,                0.94735,                0.92764,                0.95771,                 0.7787,                0.78344,                0.41962,                 1.1216,             0.00064362,             0.00064362,             0.00064362
                     51,                0.75418,                0.47042,                 1.0492,                0.94833,                0.93919,                0.96031,                0.78596,                0.77732,                0.40842,                 1.1165,             0.00063125,             0.00063125,             0.00063125
                     52,                0.74182,                0.45359,                 1.0402,                0.94769,                0.92134,                0.95654,                0.77998,                0.76541,                0.41091,                 1.1261,             0.00061887,             0.00061887,             0.00061887
                     53,                0.74079,                0.45189,                 1.0415,                0.93853,                0.93389,                0.95777,                0.78353,                0.77051,                0.40664,                 1.1213,              0.0006065,              0.0006065,              0.0006065
                     54,                0.73886,                0.45199,                  1.043,                0.96456,                0.91876,                 0.9598,                0.77799,                0.77457,                0.40492,                 1.1258,             0.00059413,             0.00059413,             0.00059413
                     55,                0.72344,                0.44717,                 1.0281,                0.94859,                0.93345,                0.96098,                0.78256,                0.77885,                0.39723,                 1.1312,             0.00058175,             0.00058175,             0.00058175
                     56,                0.73209,                0.44289,                 1.0344,                0.94868,                0.94258,                0.96547,                0.78329,                0.77056,                0.38859,                 1.1335,             0.00056938,             0.00056938,             0.00056938
                     57,                0.72373,                0.44686,                 1.0335,                0.95219,                0.94877,                0.96144,                0.78515,                 0.7617,                0.39999,                 1.1267,               0.000557,               0.000557,               0.000557
                     58,                0.72201,                0.43489,                 1.0327,                0.94475,                0.94616,                0.96235,                 0.7829,                0.76593,                0.39463,                 1.1253,             0.00054463,             0.00054463,             0.00054463
                     59,                0.73158,                0.44026,                 1.0339,                0.93975,                0.94315,                0.96192,                0.78493,                0.75817,                0.39224,                 1.1178,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.7127,                0.43002,                 1.0242,                0.94665,                0.93448,                0.96373,                0.79019,                0.76046,                0.39132,                 1.1121,             0.00051988,             0.00051988,             0.00051988
